Date,price,short_ma,long_ma,position,signal,executed_position,market_return,strategy_return_gross,trade_occurred,transaction_cost,strategy_return_net,strategy_equity,buy_hold_equity
2016-09-12,184.28126525878906,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016-09-13,181.63211059570312,,,0,0.0,0.0,-0.014375604917654994,-0.0,0.0,0.0,-0.0,1.0,0.985624395082345
2016-09-14,181.56399536132812,,,0,0.0,0.0,-0.00037501757894897736,-0.0,0.0,0.0,-0.0,1.0,0.9852547686079481
2016-09-15,183.3783721923828,,,0,0.0,0.0,0.00999304310000415,0.0,0.0,0.0,0.0,1.0,0.995100461975132
2016-09-16,182.66946411132812,,,0,0.0,0.0,-0.0038658216483182795,-0.0,0.0,0.0,-0.0,1.0,0.991253581066977
2016-09-19,182.70370483398438,,,0,0.0,0.0,0.0001874463409790028,0.0,0.0,0.0,0.0,1.0,0.9914393879237303
2016-09-20,182.71226501464844,,,0,0.0,0.0,4.6852802858321496e-05,0.0,0.0,0.0,0.0,1.0,0.9914858396379187
2016-09-21,184.76702880859375,,,0,0.0,0.0,0.011245899632302159,0.0,0.0,0.0,0.0,1.0,1.0026359898773356
2016-09-22,185.93125915527344,,,0,0.0,0.0,0.006301071972563577,0.0,0.0,0.0,0.0,1.0,1.0089536714118352
2016-09-23,184.91253662109375,,,0,0.0,0.0,-0.005479027780524781,-0.0,0.0,0.0,-0.0,1.0,1.0034255862169073
2016-09-26,183.41432189941406,,,0,0.0,0.0,-0.008102288514648892,-0.0,0.0,0.0,-0.0,1.0,0.9952955426143971
2016-09-27,184.55291748046875,,,0,0.0,0.0,0.006207779028723381,0.0,0.0,0.0,0.0,1.0,1.0014741174112207
2016-09-28,185.468994140625,,,0,0.0,0.0,0.004963761465614391,0.0,0.0,0.0,0.0,1.0,1.0064451960440368
2016-09-29,183.79100036621094,,,0,0.0,0.0,-0.009047300774930545,-0.0,0.0,0.0,-0.0,1.0,0.9973395836419425
2016-09-30,185.17794799804688,,,0,0.0,0.0,0.007546330500799225,0.0,0.0,0.0,0.0,1.0,1.0048658377616342
2016-10-03,184.732666015625,,,0,0.0,0.0,-0.0024046166794470247,-0.0,0.0,0.0,-0.0,1.0,1.002449520607546
2016-10-04,183.79100036621094,,,0,0.0,0.0,-0.005097450655177638,-0.0,0.0,0.0,-0.0,1.0,0.9973395836419426
2016-10-05,184.60427856445312,,,0,0.0,0.0,0.004425016440531282,0.0,0.0,0.0,0.0,1.0,1.0017528276963508
2016-10-06,184.732666015625,,,0,0.0,0.0,0.0006954738653419668,0.0,0.0,0.0,0.0,1.0,1.0024495206075459
2016-10-07,184.0991668701172,,,0,0.0,0.0,-0.0034292751746148875,-0.0,0.0,0.0,-0.0,1.0,0.9990118453527218
2016-10-10,185.0580596923828,,,0,0.0,0.0,0.0052085668749501934,0.0,0.0,0.0,0.0,1.0,1.004215265358109
2016-10-11,182.72079467773438,,,0,0.0,0.0,-0.012629901224154305,-0.0,0.0,0.0,-0.0,1.0,0.9915321257488481
2016-10-12,182.9605712890625,,,0,0.0,0.0,0.0013122568328964856,0.0,0.0,0.0,0.0,1.0,0.9928332705558984
2016-10-13,182.36123657226562,,,0,0.0,0.0,-0.0032757588838634444,-0.0,0.0,0.0,-0.0,1.0,0.9895809881496798
2016-10-14,182.45541381835938,,,0,0.0,0.0,0.0005164323727122611,0.0,0.0,0.0,0.0,1.0,0.9900920398073808
2016-10-17,181.82196044921875,,,0,0.0,0.0,-0.0034718255593734204,-0.0,0.0,0.0,-0.0,1.0,0.9866546129574454
2016-10-18,182.9605712890625,,,0,0.0,0.0,0.006262229474540026,0.0,0.0,0.0,0.0,1.0,0.9928332705558984
2016-10-19,183.44851684570312,,,0,0.0,0.0,0.0026669437748405578,0.0,0.0,0.0,0.0,1.0,0.9954811010662621
2016-10-20,183.1061248779297,,,0,0.0,0.0,-0.0018664199289297745,-0.0,0.0,0.0,-0.0,1.0,0.9936231153003591
2016-10-21,183.19174194335938,,,0,0.0,0.0,0.00046758165783233885,0.0,0.0,0.0,0.0,1.0,0.9940877152438717
2016-10-24,183.97073364257812,,,0,0.0,0.0,0.004252329777286512,0.0,0.0,0.0,0.0,1.0,0.9983149040366379
2016-10-25,183.3544158935547,,,0,0.0,0.0,-0.0033500858360484553,-0.0,0.0,0.0,-0.0,1.0,0.9949704634167087
2016-10-26,182.9862518310547,,,0,0.0,0.0,-0.002007936709382152,-0.0,0.0,0.0,-0.0,1.0,0.9929726256984633
2016-10-27,182.4982452392578,,,0,0.0,0.0,-0.0026669030427894924,-0.0,0.0,0.0,-0.0,1.0,0.9903244639815815
2016-10-28,181.9589080810547,,,0,0.0,0.0,-0.0029553005153339917,-0.0,0.0,0.0,-0.0,1.0,0.9873977575828289
2016-10-31,181.96749877929688,,,0,0.0,0.0,4.721229827531204e-05,0.0,0.0,0.0,0.0,1.0,0.9874443749002763
2016-11-01,180.6490478515625,,,0,0.0,0.0,-0.007245529759869251,-0.0,0.0,0.0,-0.0,1.0,0.9802898172957208
2016-11-02,179.56179809570312,,,0,0.0,0.0,-0.0060185745166658755,-0.0,0.0,0.0,-0.0,1.0,0.9743898699823977
2016-11-03,178.73992919921875,,,0,0.0,0.0,-0.004577081011665651,-0.0,0.0,0.0,-0.0,1.0,0.9699300086105419
2016-11-04,178.5430145263672,,,0,0.0,0.0,-0.001101682616378885,-0.0,0.0,0.0,-0.0,1.0,0.9688614535809514
2016-11-07,182.4811553955078,,,0,0.0,0.0,0.022057098562985544,0.0,0.0,0.0,0.0,1.0,0.9902317261564639
2016-11-08,183.30300903320312,,,0,0.0,0.0,0.004503772654847804,0.0,0.0,0.0,0.0,1.0,0.9946915047266901
2016-11-09,185.2463836669922,,,0,0.0,0.0,0.01060197889843173,0.0,0.0,0.0,0.0,1.0,1.0052372030702519
2016-11-10,185.7086639404297,,,0,0.0,0.0,0.002495488787886524,0.0,0.0,0.0,0.0,1.0,1.00774576123968
2016-11-11,185.2806396484375,,,0,0.0,0.0,-0.0023048159569415416,-0.0,0.0,0.0,-0.0,1.0,1.0054230927286347
2016-11-14,185.42616271972656,,,0,0.0,0.0,0.0007854197371359728,0.0,0.0,0.0,0.0,1.0,1.0062127718698362
2016-11-15,186.873046875,,,0,0.0,0.0,0.007803020534165039,0.0,0.0,0.0,0.0,1.0,1.0140642707904757
2016-11-16,186.52203369140625,,,0,0.0,0.0,-0.0018783510488195043,-0.0,0.0,0.0,-0.0,1.0,1.012159502103866
2016-11-17,187.48080444335938,,,0,0.0,0.0,0.005140254655057852,0.0,0.0,0.0,0.0,1.0,1.0173622596962164
2016-11-18,187.06134033203125,183.57230072021486,,0,0.0,0.0,-0.0022373709808507503,-0.0,0.0,0.0,-0.0,1.0,1.0150860428993593
2016-11-21,188.4739227294922,183.6561538696289,,0,0.0,0.0,0.007551439516864544,0.0,0.0,0.0,0.0,1.0,1.0227514037567271
